Unnamed: 0,Code,Job Title,Keywords,Description
Division,1.0,Managers,managers,"A Managers is responsible for tasks related to managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
"Sub-
Division",11.0,"Chief Executives, Senior Officials and Legislators","chief, executives, legislators, officials, senior","A Chief executives, senior officials and legislators is responsible for tasks related to chief executives, senior officials and legislators, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,111.0,Legislators and Senior Officials,"legislators, officials, senior","A Legislators and senior officials is responsible for tasks related to legislators and senior officials, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1111.0,Legislators,legislators,"A Legislators is responsible for tasks related to legislators, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1111.01,"Elected Official, Union Government","elected, government, official, union","A Elected official, union government is responsible for tasks related to elected official, union government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1111.02,"Elected Official, State Government","elected, government, official, state","A Elected official, state government is responsible for tasks related to elected official, state government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1111.03,"Elected Official, Local Bodies","bodies, elected, local, official","A Elected official, local bodies is responsible for tasks related to elected official, local bodies, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1111.99,"Legislators, Other",legislators,"A Legislators, other is responsible for tasks related to legislators, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1112.0,Senior Government Officials,"government, officials, senior","A Senior government officials is responsible for tasks related to senior government officials, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.01,"Administrative Official, Union Government","administrative, government, official, union","A Administrative official, union government is responsible for tasks related to administrative official, union government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.02,Diplomat,diplomat,"A Diplomat is responsible for tasks related to diplomat, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.03,"Executive Officials, Union Government","executive, government, officials, union","A Executive officials, union government is responsible for tasks related to executive officials, union government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.04,"Administrative Official, State Government","administrative, government, official, state","A Administrative official, state government is responsible for tasks related to administrative official, state government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.05,"Executive Official, State Government","executive, government, official, state","A Executive official, state government is responsible for tasks related to executive official, state government, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
